percentage,age,gender,adlib_id
5.52e-4,65+,unknown,470719717341763
0.001104,55-64,unknown,470719717341763
0.01766,25-34,female,470719717341763
0.008278,18-24,female,470719717341763
0.084437,55-64,male,470719717341763
0.256623,35-44,male,470719717341763
0.177704,45-54,male,470719717341763
0.06457,18-24,male,470719717341763
0.034768,65+,female,470719717341763
0.06457,55-64,female,470719717341763
0.040287,35-44,female,470719717341763
0.175497,25-34,male,470719717341763
0.035872,45-54,female,470719717341763
0.038079,65+,male,470719717341763
0.001006,55-64,unknown,278727173976656
0.001006,18-24,unknown,278727173976656
0.01006,35-44,female,278727173976656
0.004024,25-34,female,278727173976656
0.062374,65+,female,278727173976656
0.235412,45-54,male,278727173976656
0.27163,55-64,male,278727173976656
0.120724,35-44,male,278727173976656
0.044266,25-34,male,278727173976656
0.120724,65+,male,278727173976656
0.047284,18-24,male,278727173976656
0.055332,55-64,female,278727173976656
0.023139,45-54,female,278727173976656
0.003018,18-24,female,278727173976656
0.05571,25-34,male,3831233966926473
0.052925,45-54,female,3831233966926473
0.094708,65+,male,3831233966926473
0.211699,45-54,male,3831233966926473
0.030641,18-24,male,3831233966926473
0.231198,55-64,male,3831233966926473
0.167131,35-44,male,3831233966926473
0.052925,35-44,female,3831233966926473
0.064067,55-64,female,3831233966926473
0.016713,25-34,female,3831233966926473
0.005571,18-24,female,3831233966926473
0.016713,65+,female,3831233966926473
0.005314,25-34,female,758304861512750
0.129925,65+,male,758304861512750
5.5e-4,45-54,unknown,758304861512750
0.0011,35-44,unknown,758304861512750
1.83e-4,13-17,unknown,758304861512750
3.67e-4,18-24,unknown,758304861512750
0.12516,35-44,male,758304861512750
0.057907,13-17,male,758304861512750
0.16401,45-54,male,758304861512750
0.090159,25-34,male,758304861512750
0.004032,13-17,female,758304861512750
0.038299,55-64,female,758304861512750
0.031886,65+,female,758304861512750
0.119113,18-24,male,758304861512750
0.006047,18-24,female,758304861512750
0.202675,55-64,male,758304861512750
0.013927,45-54,female,758304861512750
0.009163,35-44,female,758304861512750
1.83e-4,25-34,unknown,758304861512750
0.001107,18-24,unknown,520299855634751
5.54e-4,55-64,unknown,520299855634751
0.055925,65+,female,520299855634751
0.288483,55-64,male,520299855634751
0.234773,45-54,male,520299855634751
0.053156,55-64,female,520299855634751
0.022702,45-54,female,520299855634751
0.143411,65+,male,520299855634751
0.044297,25-34,male,520299855634751
0.109635,35-44,male,520299855634751
0.033223,18-24,male,520299855634751
0.002769,18-24,female,520299855634751
0.005537,25-34,female,520299855634751
0.003876,35-44,female,520299855634751
5.54e-4,65+,unknown,520299855634751
0.002075,65+,unknown,949402835824087
0.006224,35-44,unknown,949402835824087
0.010373,65+,male,949402835824087
0.008299,65+,female,949402835824087
0.018672,18-24,female,949402835824087
0.074689,25-34,female,949402835824087
0.103734,45-54,female,949402835824087
0.029046,18-24,male,949402835824087
0.170124,35-44,male,949402835824087
0.340249,35-44,female,949402835824087
0.029046,55-64,male,949402835824087
0.091286,25-34,male,949402835824087
0.029046,55-64,female,949402835824087
0.085062,45-54,male,949402835824087
0.002075,45-54,unknown,949402835824087
0.016586,55-64,female,285627186380990
0.010166,65+,female,285627186380990
0.026752,25-34,female,285627186380990
0.081862,55-64,male,285627186380990
0.051364,35-44,female,285627186380990
0.028892,45-54,female,285627186380990
0.316212,35-44,male,285627186380990
0.194222,25-34,male,285627186380990
0.186731,45-54,male,285627186380990
0.051364,18-24,male,285627186380990
0.026752,65+,male,285627186380990
5.35e-4,45-54,unknown,285627186380990
0.006421,18-24,female,285627186380990
0.00107,25-34,unknown,285627186380990
0.00107,35-44,unknown,285627186380990
0.002155,35-44,unknown,432045974433665
0.179952,25-34,male,432045974433665
0.011066,18-24,female,432045974433665
0.001544,25-34,unknown,432045974433665
0.066654,65+,male,432045974433665
0.140513,18-24,male,432045974433665
0.023194,55-64,female,432045974433665
0.04568,35-44,female,432045974433665
0.019076,65+,female,432045974433665
2.57e-4,55-64,unknown,432045974433665
0.138326,45-54,male,432045974433665
0.217268,35-44,male,432045974433665
0.099016,55-64,male,432045974433665
0.027794,45-54,female,432045974433665
0.024416,25-34,female,432045974433665
0.001415,45-54,unknown,432045974433665
6.76e-4,65+,unknown,432045974433665
